id;name;description;store;price;affiliate_url;affiliate_url_2;image_url;created_at;updated_at
1;Selimut gambar hewan;Selimut yang nyaman dan nyaman dengan desain animal print yang sempurna untuk dipeluk sambil menonton video hewan di media sosial atau saat melukis.;Shopee;70000;https://shope.ee/2VL6HJ0aQK;"";https://down-ws-id.img.susercontent.com/03d9cce777cf404e4a3e86a688eefca5;2023-03-26 15:15:13;2023-03-26 15:15:13
2;Paint by Number;"Kegiatan yang menyenangkan dan santai bagi mereka yang suka melukis. Kit ini dilengkapi dengan kanvas, cat, dan kuas untuk menciptakan mahakarya yang indah.";Tokopedia;39000;https://tokopedia.link/PledGQhauyb;"";https://images.tokopedia.net/img/cache/700/VqbcmM/2021/4/12/a99e1df9-fb19-4923-a652-47ab82c183cf.jpg.webp;2023-03-26 15:19:47;2023-03-26 15:19:47
3;Casing Hp gambar hewan;Casing Hp bertema hewan untuk pencinta binatang;Shopee;36900;https://shope.ee/7A6vqU3HLW;"";https://down-ws-id.img.susercontent.com/0b5b9057b6b2b58e17e1d783e4e1677d;2023-03-26 15:23:47;2023-03-26 15:23:47
4;G-4800 Giorgione Water Color Paint Set 48 Warna Cat;Satu set cat air dan kuas baginya untuk mengeksplorasi hobbinya dalam melukis.;Tokopedia;160000;https://tokopedia.link/i5vZm2Oauyb;"";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/11/4a6d7e9b-f7c4-4a83-843e-28dfebd34aca.jpg.webp?ect=4g;2023-03-26 15:27:41;2023-03-26 15:27:41
5;OILA headphone jack 3.5mm small animal cartoon;Pelindung headphone jack 3.5mm bertema hewan yang lucu;Shopee;2700;https://shope.ee/9zR7EAbyTO;"";https://down-ws-id.img.susercontent.com/f9aa30e776dda86b6a5eacf0f7b9d659;2023-03-26 15:29:49;2023-03-26 15:29:49
6;HAN RIVER Diffuser HRXXJ01 Humidifier putih;Diffuser adalah hadiah yang bagus untuk siapa saja yang suka bersantai dan menciptakan suasana yang menenangkan.;Shopee;95000;https://shope.ee/3fX3gsvOKo;"";https://down-ws-id.img.susercontent.com/sg-11134201-22110-p4kfyw8ascjva6.webp;2023-03-26 15:34:58;2023-03-26 15:34:58
7;Piyama Daster Loungewear ;Loungewear adalah pakaian santai yang nyaman adalah hadiah yang bagus untuk siapa saja yang suka tetap nyaman dan nyaman di rumah.;Tokopedia;89900;https://tokopedia.link/PkVs6Llcuyb;"";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/23/f091d8d1-1afb-4416-9806-d8030eb8d4e8.png.webp?ect=4g;2023-03-26 15:48:08;2023-03-26 15:48:08
8;CANEL & CO Teko Listrik Pemanas Air Electric Kettle ketel besar otomatis stainless 2.0L;Ketel listrik adalah hadiah yang berguna dan praktis bagi seseorang yang suka menikmati secangkir teh atau kopi hangat.;Shopee;69900;https://shope.ee/LGbk65cuY;"";https://down-ws-id.img.susercontent.com/543d7f88fc675aaa926709da6fbb490f;2023-03-26 15:53:01;2023-03-26 15:53:01
9;Kadonio Lampu Led Strip RGB Warna Warni IP65waterproof Adaptor kontrol ;"Lampu strip LED dapat menambahkan sentuhan yang menyenangkan dan trendi ke ruang tamu mana pun, cocok untuk seseorang dengan selera mode trendi";Tokopedia;37000;https://tokopedia.link/LNEWLmTcuyb;"";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/1/7830d73d-8bf6-4bf5-95dc-3055df267147.jpg.webp?ect=4g;2023-03-26 15:55:02;2023-03-26 15:55:02
10;Adult Coloring Book;Buku mewarnai dewasa adalah hadiah yang bagus untuk seseorang yang suka bersantai dan bersantai.;Shopee;18000;https://shope.ee/AxBY0Vo93;"";https://down-aka-id.img.susercontent.com/8ad65c70637839446b53b2beb5e898a6;2023-03-26 15:56:51;2023-03-26 15:56:51
11;Hydro Flask Wide Mouth Flex Sip Lid 20 oz Water Bottle ;Botol air kekinian yang membuat minuman tetap dingin hingga 24 jam atau panas hingga 12 jam. Sempurna untuk tetap terhidrasi saat bepergian.;Shopee;599000;https://shope.ee/4KmneqkO2Z;"";https://down-ws-id.img.susercontent.com/06615d3ef0ddb021efdd923153f3fbcf;2023-03-28 15:23:01;2023-03-28 15:23:01
12;Fujifilm Instax Mini 11 Instant Camera;Kamera instan yang menyenangkan dan trendi yang memungkinkan Anda menangkap dan mencetak kenangan di tempat. Bagus untuk mengambil foto dengan teman dan mendokumentasikan petualangan.;Tokopedia;1049000;https://tokopedia.link/YezIzNyuxyb;"";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/3/1/fa381c44-1eb1-48b7-a4c4-313ca22aac6c.jpg.webp?ect=4g;2023-03-28 15:25:27;2023-03-28 15:25:27
13;Baseus Time Aromatherapy;Diffuser minyak esensial yang memenuhi ruangan dengan aroma yang menenangkan dan menciptakan suasana yang menenangkan. Sempurna untuk penyembuhan diri dan relaksasi.;Tokopedia;268000;https://tokopedia.link/mrWEamOuxyb;"";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/29/942e7e93-e043-4e03-a5e7-6b09a74032e5.png.webp?ect=4g;2023-03-28 15:27:38;2023-03-28 15:27:38
14;Humidifier Diffuser Aromatherapy Essential Oil;Diffuser aromatherapy yang memenuhi ruangan dengan aroma yang menenangkan dan menciptakan suasana yang menenangkan. Sempurna untuk penyembuhan diri dan relaksasi.;Shopee;70000;https://shope.ee/4ATNTC4GdK;"";https://down-ws-id.img.susercontent.com/d7f14f96b4004c8e405ef3bc222bbd0f;2023-03-28 15:29:13;2023-03-28 15:29:13
15;Betah Lega Cough and Flu Essential Oil Diffuser H;"Diffuser minyak esensial yang memenuhi ruangan dengan aroma yang menenangkan dan menciptakan suasana yang menenangkan. Sempurna untuk penyembuhan diri dan relaksasi.
";Shopee;89000;https://shope.ee/9UUtp7BvyT;"";https://down-ws-id.img.susercontent.com/id-11134201-7qul5-lev658jvzxo5bc.webp;2023-03-28 15:30:57;2023-03-28 15:30:57
16;Pop Socket 3D PopSoket Pop ;"Aksesori handphone yang memudahkan untuk memegang dan menggunakan telepon Anda, dan berfungsi ganda sebagai dudukan untuk menonton video. 

Hadir dalam berbagai desain trendi.";Shopee;6450;https://shope.ee/LGeuRkr7w;"";https://down-ws-id.img.susercontent.com/ded85f13eb1ae5d1749fc777874a2ce8;2023-03-28 15:33:17;2023-03-28 15:33:17
17;Fujifilm Instax Mini 11 Case;Kasing lucu dan pelindung untuk kamera Fujifilm Instax Mini 11. Hadir dalam berbagai warna dan desain trendi.;Tokopedia;65000;https://tokopedia.link/IPqknnivxyb;"";https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2022/11/29/48873e31-4fc2-4f69-b920-604917d77e4b.jpg.webp?ect=4g;2023-03-28 15:35:28;2023-03-28 15:35:28
18;Hardcase Fujifilm Instax Mini 11 ;Kasing lucu dan pelindung untuk kamera Fujifilm Instax Mini 11. Hadir dalam berbagai warna dan desain trendi.;Shopee;65000;https://shope.ee/4fPe4npBgm;"";https://down-ws-id.img.susercontent.com/207eb1a382aa7dde39e44cdd162087fa;2023-03-28 15:37:52;2023-03-28 15:37:52
19;Ekleva YG220 Mini Portable Projector;Proyektor mini yang dapat digunakan untuk memproyeksikan film atau video dari ponsel Anda ke dinding atau layar. Bagus untuk menonton dan bergaul dengan teman-teman.;Shopee;609000;https://shope.ee/5Uyl4dR8ng;"";https://down-ws-id.img.susercontent.com/4a851a84bb890267216baefaaa33634e;2023-03-28 15:43:03;2023-03-28 15:43:03
20;Mini Portable LED Home Projector ;Proyektor mini yang dapat digunakan untuk memproyeksikan film atau video dari ponsel Anda ke dinding atau layar. Bagus untuk menonton gosip dan bergaul dengan teman-teman.;Tokopedia;1099000;https://tokopedia.link/M2lmmrYvxyb;"";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/11/3/0ecc9f46-2ed0-48d7-9ab9-c2f1b4aef902.jpg.webp?ect=4g;2023-03-28 15:44:25;2023-03-28 15:44:25
21;Weighted Blanket;Selimut berbobot yang nyaman dan aman untuk membantu relaksasi dan mengatasi anxiety.;Shopee;849000;https://shope.ee/drj8akeQ;"";https://down-ws-id.img.susercontent.com/871f649e070709c34bc39047edbc118a;2023-03-30 15:55:32;2023-03-30 15:55:32
22;Microphone Mic Clip On Wireless 2.4Ghz;Mikrofon berkualitas tinggi yang dirancang untuk pembuatan konten ASMR.;Shopee;260000;https://shope.ee/6AEV4bammm;"";https://down-ws-id.img.susercontent.com/sg-11134201-23010-705p7pepetmv6a.webp;2023-03-30 15:57:13;2023-03-30 15:57:13
23;Kenshington - Spa Gift Set;Set hadiah spa untuk spa santai di rumah.;Tokopedia;348000;https://tokopedia.link/3JLtMEPQAyb;"";https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/8/ff105aa7-1757-4f49-a490-1f2dfd745949.jpg.webp?ect=4g;2023-03-30 16:00:00;2023-03-30 16:00:00
24;Sweater Hoodie Streetwear;Hoodie streetwear yang stylish dan nyaman dengan desain yang trendi.;Shopee;163800;https://shope.ee/5fIEUHnw3V;"";https://down-aka-id.img.susercontent.com/sg-11134201-22120-hgt3c8v3oykv7a.webp;2023-03-30 16:06:29;2023-03-30 16:06:29
25;Blender Portable mini Kapsul;Blender yang ringkas dan nyaman untuk membuat smoothies sehat dan protein shake saat bepergian.;Shopee;74700;https://shope.ee/2py37CeAMb;"";https://down-aka-id.img.susercontent.com/596ca229d91fa7c08b78a5995fcb50e9;2023-03-30 16:07:45;2023-03-30 16:07:45
26;Headset Bluetooth TWS Inpods;Headphone wireless berkualitas tinggi untuk mendengarkan musik saat berolahraga.;Shopee;40400;https://shope.ee/9eoNFtbFZf;"";https://down-aka-id.img.susercontent.com/sg-11134201-22120-95x4u4qxcpkv86.webp;2023-03-30 16:09:45;2023-03-30 16:09:45
27;MINIBEST Macaron I13 Pro Bluetooth Earphone Wireless Headphones ;Headphone nirkabel berkualitas tinggi untuk mendengarkan musik saat berolahraga.;Shopee;47900;https://shope.ee/ftYXROkQi;"";https://down-aka-id.img.susercontent.com/id-11134201-23030-17c13f503wov26.webp;2023-03-30 16:10:31;2023-03-30 16:10:31
28;SonicGear Airphone 7 Bluetooth Headphones With Microphone;Headphone nirkabel berkualitas tinggi untuk mendengarkan musik saat berolahraga;Shopee;189000;https://shope.ee/7zg9GxrM9q;"";https://down-aka-id.img.susercontent.com/70fc95f07865a53994e9a20ccec0de50;2023-03-30 16:11:20;2023-03-30 16:11:20
29;Fashion Food Brand Camera Protect iPhone;Casing ponsel yang lucu dengan desain foodie;Shopee;29909;https://shope.ee/5UyoITcFn7;"";https://down-aka-id.img.susercontent.com/f83d7d367b5220a4be94e1a931fcf90b;2023-03-30 16:13:03;2023-03-30 16:13:03
30;SPEEDS Alat Masak Camping 2in1 Nesting Panci;Kit memasak camping untuk membuat makanan lezat saat camping;Tokopedia;66500;https://tokopedia.link/adO068WRAyb;"";https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2023/2/1/50c3dda1-3447-44c6-aa18-6e2c551212b1.jpg.webp?ect=4g;2023-03-30 16:15:38;2023-03-30 16:15:38
31;Oxone Set Pisau / Knife Set Black Marble 6 Pcs;"Satu set pisau berkualitas tinggi akan sempurna untuk seseorang yang suka memasak dan menonton video memasak. 

Satu set pisau yang baik dapat membuat perbedaan besar dalam kualitas masakan Anda.";Shopee;167100;https://shope.ee/4ATaIKPNaw;"";https://down-aka-id.img.susercontent.com/decc48fdfecae03acb23679b636f27ab;2023-04-05 16:26:15;2023-04-05 16:26:15
32;Celemek plastik motif karakter;"Celemek bisa menjadi hadiah yang bagus untuk seseorang yang suka memasak dan membuat konten.
";Shopee;3148;https://shope.ee/AK4DdrNnY9;"";https://down-aka-id.img.susercontent.com/id-11134201-23020-proudsbm6tnv39.webp;2023-04-05 16:29:07;2023-04-05 16:29:07
33;Rearth Paracord Colorful Lanyard ;"Bagi seseorang yang menghabiskan hari kerja mereka membuat konten, lanyard kamera berwarna-warni bisa menjadi hadiah yang menyenangkan dan praktis. 
";Shopee;49500;https://shope.ee/7A7BsFH3jj;"";https://down-aka-id.img.susercontent.com/45a76a9fd219edc36045226802bd9ce3;2023-04-05 16:33:38;2023-04-05 16:33:38
34;Tote bag Art Printing Planet Full Colo;"Tote bag bisa menjadi hadiah yang menyenangkan dan fungsional bagi seseorang dengan selera fashion yang penuh warna.

Tas ini dapat digunakan untuk membawa segala sesuatu.";Shopee;8999;https://shope.ee/7A7BsQCkld;"";https://down-aka-id.img.susercontent.com/77bdb8f40b78febc06cdc1cf39df3e47;2023-04-05 16:35:21;2023-04-05 16:35:21
35;Inone Smartband Bluetooth Fitness Tracker;"Fitness tracker adalah hadiah yang sempurna untuk seseorang yang suka berolahraga. 

Melacak kemajuan mereka, menetapkan tujuan, dan membantu mereka tetap termotivasi.";Shopee;89900;https://shope.ee/7zgIsUnFmC;"";https://down-aka-id.img.susercontent.com/sg-11134201-23010-wompcgmjbpmv88.webp;2023-04-05 16:42:33;2023-04-05 16:42:33
36;Elli Jewelry Perhiasan Wanita Perak Asli - Silver Cincin Glamorous Crystals;"Untuk seseorang dengan selera mode glamor, perhiasan bisa menjadi hadiah yang sempurna. 
";Shopee;329000;https://shope.ee/9eoWrgqX4d;"";https://down-aka-id.img.susercontent.com/eec44eb24a05ab7502793953787a5655;2023-04-05 16:44:31;2023-04-05 16:44:31
37;Elli Jewelry Perhiasan Wanita Perak Asli - Silver Anting Glamorous Crystals Gold Plated;"Untuk seseorang dengan selera mode glamor, perhiasan bisa menjadi hadiah yang sempurna. ";Shopee;1119000;https://shope.ee/89zj4zUMlg;"";https://down-aka-id.img.susercontent.com/84f60534df7adea7b5d18039e4c0a2bf;2023-04-05 16:45:26;2023-04-05 16:45:26
38;"Tas Travel Bag / Tas Gym / Tas Pulkam / Tas Backpacker, Duffel Bag";"Tas olahraga adalah hadiah yang bijaksana dan praktis untuk seseorang yang suka berolahraga. 
";Shopee;90000;https://shope.ee/AUNdrRYuC1;"";https://down-aka-id.img.susercontent.com/38e95f6a7eba0edaaaad97c6e4399eb1;2023-04-05 16:51:12;2023-04-05 16:51:12
39;Tas Serut Anti Air Terlengkap - Tas Ransel Olahraga;Tas olahraga yang dipersonalisasi adalah hadiah yang bijaksana dan praktis untuk seseorang yang suka berolahraga. ;Shopee;10000;https://shope.ee/qD8M0Wpxh;"";https://down-aka-id.img.susercontent.com/05cf1b9f2a48bf8189a70137721a02a9;2023-04-05 16:52:29;2023-04-05 16:52:29
40;"Yoga Mat, Tas Sarung dan Strap";Yoga mat adalah hadiah yang bijaksana dan praktis untuk seseorang yang suka berolahraga.;Shopee;8000;https://shope.ee/6KY4u9ocUa;"";https://down-aka-id.img.susercontent.com/81555cf01e678d8567cc426c5933a9b3;2023-04-05 16:54:03;2023-04-05 16:54:03
41;Baju Handuk Kimono Mandi Karakter Daster Tidur Wanita;"Setelah berolahraga, tidak ada yang lebih baik daripada mengenakan jubah mandi yang nyaman. 

Pertimbangkan pilihan mewah dan lembut untuk hadiah yang benar-benar memanjakan.
";Shopee;13949;https://shope.ee/1L9Ox505ES;"";https://down-aka-id.img.susercontent.com/75e5ba202ec260d42701c363833d78b7;2023-04-05 16:56:30;2023-04-05 16:56:30
42;Amazon Echo Dot 3rd Gen Alexa Voice Control Smart Speaker;"Speaker pintar dengan kontrol suara yang dapat memutar musik, mengatur alarm, menjawab pertanyaan, dan mengontrol perangkat smart home yang kompatibel. 
";Shopee;540000;https://shope.ee/6UrctIUJ9s;"";https://down-ws-id.img.susercontent.com/9469d866a690915cbd43e778af3c605c;2023-04-10 14:04:40;2023-04-10 14:04:40
43;BARDI Smart LIGHT BULB RGBWW 12W Wifi Wireless IoT - (Lampu Tidur Kekinian);"Lampu pintar yang dapat dikontrol oleh aplikasi smartphone atau asisten suara seperti Alexa atau Google Assistant. 

Lampu ini dapat berubah warna dan kecerahan, dan sangat cocok untuk seseorang yang suka mendekorasi rumah mereka";Shopee;126000;https://shope.ee/9KBoGbYhGs;"";https://down-ws-id.img.susercontent.com/sg-11134201-23010-hkz9ov44dxmvbe.webp;2023-04-10 14:09:22;2023-04-10 14:09:22
44;Wooden Book Stand Cookbook Stand Holder Penyangga Buku Laptop Tablet Kanvas Lukis Gambar Kayu;"Stand Buku cocok untuk orang yang gemar dirumah, dan membaca buku";Shopee;118750;https://shope.ee/8zYxsM0HE0;"";https://down-ws-id.img.susercontent.com/sg-11134201-23010-8832hf9sprmvcf.webp;2023-04-10 14:11:19;2023-04-10 14:11:19
45;LATERIE Gelas Keramik Mug 200/350Ml Motif Bunga Sakura 4 Warna;Ini sangat cocok untuk seseorang yang suka minum kopi atau teh di rumah dan ingin menambahkan sentuhan pribadi pada rutinitas pagi mereka.;Shopee;15000;https://shope.ee/3Kub835PUG;"";https://down-ws-id.img.susercontent.com/b253c9ef21d7f29b95dae8efbb8289d1;2023-04-10 14:13:26;2023-04-10 14:13:26
46;HAPPYFIT - Resistance Loop Bands / Loop Band / Karet Gym & Fitness;"Satu set band resistensi yang dapat digunakan untuk berbagai latihan, termasuk latihan kekuatan dan yoga. 

Ini sangat cocok untuk seseorang yang suka menonton video latihan di media sosial dan ingin mencoba latihan baru di rumah atau bersama teman.";Shopee;22000;https://shope.ee/6fB36k5KAK;"";https://down-ws-id.img.susercontent.com/0980215f1acba197921da81f783f1c65;2023-04-10 14:21:14;2023-04-10 14:21:14
47;Acome Speaker Bluetooth 5.0 Portable Ultra Bass;"Speaker Bluetooth portabel yang dapat dibawa ke mana saja, dari taman ke rumah teman. 

Ini sangat cocok untuk seseorang yang suka bergaul dengan teman-teman di akhir pekan dan ingin membawa musik favorit mereka.";Shopee;69900;https://shope.ee/4ATi8EysJY;"";https://down-ws-id.img.susercontent.com/sg-11134201-22110-08yl037t7xjv19.webp;2023-04-10 14:23:34;2023-04-10 14:23:34
